,Inclusive development ,Built based on community input and extensive field testing (EC7.1); No continued channel for user developer interaction (EC7.2);  ,Partial 
,Example projects,Save does not publish specific user projects. It was made to help individuals and communities securely preserve and share mobile media for future use and sharing (https://www.open-archive.org/faq);,
Ushahidi (https://www.ushahidi.com/),Integrated data aggregation and advocacy grade visualizations,"Collects text, numerical, documents, images, audio, location, and more data types (EC1.1); Interactive map view display of data (EC1.2); Activity tracking with charts and graphs (EC1.2); Export data as CSV or HDX (EC1.4) (humanitarian data exchange - https://data.humdata.org/); Filter and categorical searching for viewing data;",Yes 
,"Resilient, low friction field capture","Multiple data submission types improves accessibility (mobile, email, X, SMS) (EC2.2); SMS submissions allows for offline uploads (EC2.1); Queue uploading while offline with mobile app (EC2.1); Form based data collection (EC2.3);",Yes
,"Secure, verifiable evidence management ",Role based access (EC3.3); Encrypt data in transit (SSL/TLS) and support disk-level encryption on self-hosting (EC3.1); No native cryptographic signing;,Partial
,Democratization of data submission and organization,"Deployments in over 40 languages (EC4.2); Receive data submissions from SMS, X, email, and mobile app submissions (EC4.1);",Yes
,Free to use,"Free to create and use one  deployment (EC5.1, EC5.3); Free to download and self host (EC5.2); Tailored support and customization from Ushahidi is not free;",Yes
,Open source ,"AGPL-3.0 license (EC6.1); Deployment, code installation and customization guides (EC6.2); ",Yes
,Inclusive development ,Developed with users in 2008 to monitor and map post election violence in Kenya (EC7.1); Robust developer circle discord channel for continued development (EC7.2);,Yes
,Example projects,"Crowd sourced reports provided information to improve polling station functionality in Nigeria (https://www.ushahidi.com/five-year-strategy/); In Mozambique Ushahidi serves as a community outreach platform, giving attention to topics that are otherwise hard to address, such as child marriages and safe abortions (https://www.ushahidi.com/in-action/juntos-mozambique/);",
Uwazi (https://uwazi.io/),Integrated data aggregation and advocacy grade visualizations,"Captures text, images, documents, videos, and more (EC1.1); Organize, filter, and management data (EC1.2); Export information in CSV (EC1.4); Display data in graphs, maps, tables (EC1.2);",Yes
,"Resilient, low friction field capture","By itself Uwazi is a web database, users submit via browser forms (needs connectivity to access) (EC2.1); Accepts from submissions (EC2.3);
* Integration with Tella enables fully offline, encrypted mobile capture that syncs when online (EC2.1, EC 2.2) *;","No, *Yes when paired with Tella"
,"Secure, verifiable evidence management ",Two-factor authentication; User decides what information you share with public and private (EC3.3); View and track changes made to data; Role based user access (EC3.3); * Tella encrypts data from mobile to cloud transfer (EC3.1) *;,"No, * Partial when connected with Tella"
,Democratization of data submission and organization,"Interface and data can be localized into 180+ languages (EC4.2); Map/card/table views and in-browser PDF reader lower hardware barriers (EC4.1); No Uwazi mobile app;

* Tella integration allows for accessible mobile submission (EC4.1) *;","Partial, *Yes when connected with Tella"
,Free to use,Source code is free; Free “Community Cloud” tier for non-profits (EC5.1); ,Yes 
,Open source ,MIT License (EC6.1); Installation and self host guides (EC6.2);,Yes 
,Inclusive development ,"Developed in 2017 with human rights defenders. Built on the premise that it was difficult for human right defenders to not only locate a relevant court ruling, but to also see how it fit into the bigger picture. Uwazi was developed to fill this gap (EC7.1); GitHub issues and support email are used to connect developers and users (EC7.2);",Yes
,Example projects,"The Bolivian Centre for Documentation and Information (CEDIB) is using Uwazi to document cases where acts of aggression took place against those who defend human rights, Indigenous and protected territories and the environment in Bolivia (https://uwazi.io/en/entity/mp9z6c361ar); The Atlas of Torture is an online hub for information about torture and ill-treatment storing laws, reports, standards, handbooks, educational materials and more (https://huridocs.org/2020/04/atlas-of-torture-fosters-a-more-collaborative-movement-against-torture/)",
Mapeo (https://www.digital-democracy.org/mapeo),Integrated data aggregation and advocacy grade visualizations,"Collects geographic points with associated photos, description, and details (EC1.1); Desktop app lets users organize incoming mobile/GPS data, visualize, edit and create reports for action (EC1,.2, EC 1.3); Reports can be exported as PDFs and maps can be exported as web maps (EC1.3); No built-in dashboards or multi-layer analytics, so advanced advocacy visuals usually require post-processing; Data can be exported as GeoJSON, CSV, SMART CSV (EC1.4);",Yes
,"Resilient, low friction field capture","Offline-first, smartphone-centered design (EC2.1); Mobile phone data collection and sharing (EC2.2); Peer-to-peer sync means no server or connectivity needed in the field (EC2.1);",Yes 
,"Secure, verifiable evidence management ","Local-first database keeps control with communities and avoids third-party servers, a big step for data sovereignty (EC3.3); No native cryptographic hashing, signatures, or audit-trail features; Projects needing forensic-grade chain-of-custody will need add external tooling (EC3.2);",No
,Democratization of data submission and organization,"Android mobile one-tap capture of GPS, photos, notes (EC4.1); Icon centered UI (EC4.2);  Localization of mobile app (EC4.2); No cloud hosting requiring cutting out technical details and hard to learn concepts for technical illiterate users; No internet needed;",Yes 
,Free to use,Does not even require internet or cloud and free download (EC5.1);,Yes 
,Open source ,GNU General Public License 3.0 (GPLv3) (EC6.1); Rich documents for users and developers (EC6.2);,Yes 
,Inclusive development ,"Mapeo was designed and developed with Digital Democracy's indigenous partners in the Amazon , including Achuar, Cocama, Harakbut, Kofan, Kichwa, Matsiguenka, Siekopai, Wapichana, Waorani and Yine peoples (EC7.1); Discord channel for user and developer discourse (EC7.2);",Yes 
,Example Projects ,ECA-RCA's community monitors take scheduled patrols into the Amarakaeri Reserve carrying mobile phones installed with Mapeo.  Custom forms are filled out in the field when they observe illegal activity and monitoring reports are filled out on Mapeo desktop (https://www.digital-democracy.org/archived/eca-rca); The Kofan  defending their land from legal mining that threatened the lives of people in their community  (https://www.digital-democracy.org/archived/kofan); The Waorani documented their territory with ancestral knowledge  (https://www.digital-democracy.org/archived/waorani) .,
Check from Meedan (https://meedan.com/check),Integrated data aggregation and advocacy grade visualizations,"Check workspace is used to manage and analyze data and is made for collaboration of different organizations; Tipline is where community members can reach out with questions and observations via messaging apps, submitting photos, videos, audio, or text (EC1.1); In workspace, submissions are clustered into themes by their AI and the amount of interactions can be analyzed (EC1.2); Data sets are generated from tipline trends (EC1.4); Does not track location, no map view;",Yes
,"Resilient, low friction field capture",Submission through messenger apps (EC2.2) but require connectivity; No offline submission;,No
,"Secure, verifiable evidence management ",Account data is encrypted at rest in their servers; Oauth for authentication and HTTPS to encrypt data between user and servers (EC3.1); ,No
,Democratization of data submission and organization,"Community submissions arrive through familiar WhatsApp, Messenger, Telegram, LINE or Viber tiplines (EC4.1); 33 languages supported on tiplines (EC4.2);",Yes
,Free to use,Paid business and enterprise plan but option for subsidization (EC5.1); ,Yes
,Open source ,MIT License (EC6.1); No developer documentation (EC6.2),Partial
,Inclusive development ,"In 2012 Meedan supported social media-based journalism and developed Checkdesk for Egyptian presidential election, partnering with Egyptian newsrooms to monitor social media content (EC7.1); User based expanded to civil society partners in other countries in 2013; No community forum support channels, email reach out sources;",Partial
,Example Projects ,"In 2023, Meedan helped combat the spread of misinformation surrounding elections in the Philippines, Ecuador, and the United States (https://meedan.com/post/reporting-out-from-meedans-2024-us-election-exchange, https://meedan.com/post/election-integrity-initiatives-ramp-up-in-the-philippines-and-ecuador); A fact checking tipline was established to share critical information about an earthquake in Turkey and Syria (https://meedan.com/project/turkey-syria-earthquake-2023);",
ODK Collect (https://docs.getodk.org/collect-intro/),Integrated data aggregation and advocacy grade visualizations,"Forms can include photos, GPS locations, skip logic, calculations, external datasets, multiple languages, and more (EC1.1); Filter submissions; Analyze data in pie/bar charts and point-maps and export via OData/CSV/KML (EC1.2, EC1.4);",Yes
,"Resilient, low friction field capture","Android mobile app for data collection through forms (EC2.1, EC2.3); Offline functionality where data is synced once connection is found (EC2.3);",Partial
,"Secure, verifiable evidence management ","Offers self-supplied key encryption and project managed encryption, these will encrypt data submissions from mobile devices (EC3.1); Limits some functionality of viewing data on ODK dashboard; No built in cryptographic signing or hashing; Role based access to data and actions (EC3.3);",Partial
,Democratization of data submission and organization,"Mobile offline upload (EC4.1); Offers multiple languages, uses Transifex (EC4.2); Made for teams with limited technical skills in challenging environments (EC4.2);",Yes
,Free to use,"Open source software, free to adopt and self host (EC5.2); Paid plans for using ODK Cloud;",Partial
,Open source ,Apache 2.0 License (EC6.1); Rich user and developer documentation (EC6.2);,Yes
,Inclusive development ,"""Design with, not for, users by creating solutions with our communality"" (https://getodk.org/about/design/) (EC7.1); ODK community forum and Slack for users to connect with developers (EC7.2);",Yes
,Example Projects ,"Humanitarian OpenStreetMap Team uses ODK to help a global community map the places most vulnerable to disaster and poverty in order to support humanitarian aid and sustainable development (https://getodk.org/success-stories/field-mapping/);  Australia's Commonwealth Scientific and Industrial Research Organization ODK to collect data on how ocean plastics affect the environment, transforming their data collection into a process that's efficient and results in better quality data (https://getodk.org/success-stories/environmental-research/);",
Sahana EDEN - Rapid Application Development Kit* (https://sahanafoundation.org/eden/)  * No usable interface available without running locally or self hosting,Integrated data aggregation and advocacy grade visualizations,"Built in photo, document, text data (EC1.1); Interactive GIS mapping (EC1.2); Automatic creation of summaries (EC1.3); Customizable dashboards of projects (EC1.2); PDF, Excel, XML, JSON exports (EC1.4); Offers project, volunteer, recovery shelter, and hospital management through event and asset tracking;",Yes
,"Resilient, low friction field capture","Infrastructure to setup SMS upload exists, but not built in; No mobile app, but technical users can connect to other data collection apps, but no explicit partnerships; Supports form based collection (EC2.3);",No
,"Secure, verifiable evidence management ",Encryption during data transfer (HGTTPS); No resting encryption (EC3.1); No cryptographic hashing or signatures;  ,No
,Democratization of data submission and organization,"Web2py localization framework, allowing interface text to be displayed in any language, including right-to-left languages (EC4.2);",No
,Free to use,"Free to use to download, customize, and deploy; No hosting option, needs to be self hosted (EC5.2); ",Partial
,Open source ,MIT License (EC6.1); Robust developer documentation;,Yes 
,Inclusive development ,Initiated by volunteers in Sri Lanka to help people affected during the 2004 Asian Tsunami (EC7.1); Sahana Wiki and Google Group for Eden allows discourse between users and developers (EC7.2);,Yes
,Example Projects ,"The Vesuvius’s Project led by the US National Library of Medicine focused on  disaster preparedness and response needs of the medical community, contributing to family reunification and assisting with hospital triage (https://sahanafoundation.org/about/); SAMBRO is a project focusing on delivering a unified hub for warning alerts and risk mapping based on warnings in Asia and the Pacific Region (https://sahanafoundation.org/sambro/);",
Spotteron (https://www.spotteron.net/),Integrated data aggregation and advocacy grade visualizations,Many different data types (EC1.1); Data Administration Interface allows for robust data management (EC1.2); Interactive maps (EC1.2); Data Visualization Overlay allows for further map analysis (heatmap and dotmap) (EC1.2); Export as CSV for further analysis (EC1.4);,Partial
,"Resilient, low friction field capture","Custom mobile apps with offline queue submission (EC2.1, EC2.2); Map area download for offline map use (EC2.1);",Yes
,"Secure, verifiable evidence management ","Citizen science style data validation (community data validation, admin check-ins, user data flagging); Data transport between servers and mobile app and web app are encrypted by SSL/Transfer Layer Security (TLS) (EC3.1); No cryptographic hashing or signing; All changes made to data are logged;",No
,Democratization of data submission and organization,"Apps run on any smartphone, work offline (ec4.1); Mobile aps are custom to each project; Projects can be localized and scaled through the Project Internationalization Toolkit (ec4.2);",Yes
,Free to use,Project licenses start at €7900–€23450; the platform is a paid SaaS/service offered for organizations;,No
,Open source ,"Spotteron keeps core platform proprietary, but maintains a handful of open-source plug-ins and libraries on GitHub (e.g., Cordova plugin, GIS helpers) (EC6.3)",Partial
,Inclusive development ,The Spotteron team works with your team throughout the development process and continues after deployment with maintenance help (EC7.1); The team continues support for on going maintenance (EC7.2);,Yes
,Example Projects ,"The COSEA App allows people to observe marine environments, document coastal habitats or species, and report on pollution, infrastructure and the blue economy to help scientists better understand the impacts and drivers of marine factors to protect and foster a healthy relationship between humans and seas (https://www.spotteron.net/apps/global-community-science-projects/cosea-collaboration-for-effective-sea-action);  The Green Growth app turns citizens into active community forest watchers, helping to keep Suriname as the greenest country on earth with 93% forest cover. (https://www.spotteron.net/apps/regional-community-science-projects/green-growth-forests)",
Epicollect5 (https://five.epicollect.net/),Integrated data aggregation and advocacy grade visualizations,"Data collected (GPS, media) can be viewed from a central server via map, tables, and charts (EC1.1, EC1.2); Data can be exported as VSC/JSON (EC1.4);",Yes
,"Resilient, low friction field capture",Form based data collection (EC2.3); Mobile app for form submission (EC2.2); Offline queue submission (EC2.1);,Yes
,"Secure, verifiable evidence management ","Metadata is collected (date/time, author, latitude/longitude, and more); Data is sent over HTTPS and its TLS certificate uses SHA-256 with RSA encryption as a signature algorithm (EC3.1); No cryptographic hashing or signatures; ",No
,Democratization of data submission and organization,iOS and Android mobile app (EC4.1); Mobile set up is low effort (EC4.2); Mobile app UI can be translated to 7 European languages (EC4.2); Project set up requires no technical skills (EC4.2);,Yes
,Free to use,"Projects are hosted for free (EC5.1, EC5.3);",Yes
,Open source ,MIT License  (EC6.1); Rich user guide (EC6.2);,Yes 
,Inclusive development ,Epicollect5 branched from previous versions focused on tracking infection diseases; Sites user feedback from researchers and field teams as a significant role of interactive improvement (EC7.1);  Community forum for user developer discourse (EC7.2);,Yes
,Example Projects ,"In Ecuador, a project to monitor fruit flies has over 100,000 submissions (https://five.epicollect.net/project/monitoreo-mosca-de-la-fruta-pnmmf). Centered around Quito, Ecuador, a forest consensus project with over 25,000 submissions (https://five.epicollect.net/project/censo-forestal-del-canton-ruminahui); ",
Citizen Science Toolkit from Crowd4SDG  (https://lab.citizenscience.ch/en/tools/cslogger),Integrated data aggregation and advocacy grade visualizations,"Allows user to collect data (text, surveys, images, video, audio, geolocation and more)  (EC1.1);  Analysis of the data can be done on the Citizen Science Project Builder web app with some visualizations (maps) (EC1.2); Data is exported in CSV form and media in ZIP form (EC1.4);",Yes
,"Resilient, low friction field capture",Mobile phone data collection with CS Logger (built from MindLogger) (EC2.2); No offline submission;,No
,"Secure, verifiable evidence management ",Projects must be open for any volunteers to contribute; Built on MindLogger which has SSL-TLS providing encrypted connections between users and servers (EC3.1); No cryptographic hashing or signatures;,No
,Democratization of data submission and organization,iOS and Android mobile app (EC4.1); Projects are open for anyone to contribute; Soon to adopt new other languages;,Partial
,Free to use,"Available for everybody to use(EC5.1, EC5.3);",Yes 
,Open source ,CPAL-1.0 license (EC6.1); No community forum or support channels besides email;,No
,Inclusive development ,"Mind Logger was developed in collaboration with key stakeholders clinicians, scientists, and directors of schools, technology consultants) (EC7.1) (https://www.jmir.org/2021/11/e22369); Continued development driven from user feedback (EC7.2);",Yes
,Example Projects ,"The Wild River Battle Project We evaluates river sections from satellite images to gather valuable information about the river's course, width, depth, shape and surrounding landscape to identify unprotected areas in need of action (https://lab.citizenscience.ch/en/project/769)",
CyberTracker (https://cybertracker.org/),Integrated data aggregation and advocacy grade visualizations,"Map and table view of collected data (EC1.2); Nontechnical data filtering and querying; Export as CSV (EC1.4); Collects text, numeric, audio, GPS, time/date fields (EC1.1)",Yes
,"Resilient, low friction field capture","Mobile app offline queue submissions (EC2.1, EC2.2); Survey based submission (EC2.3); Mobile survey forms can be icon only (for non-literate users), text only, or a mixture of both, allowing for higher complexity when needed; Forms offer branching logic and save targets;",Yes 
,"Secure, verifiable evidence management ",CyberTracker Online is managed via secure storage services by Microsoft Azure which includes encryption in transit (https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview) (EC3.1); Quality and authenticity of data depends on user; Three access levels for users (EC 3.3);,Partial
,Democratization of data submission and organization,"Icon-based UI was designed for non-literate Indigenous trackers, enabling data entry by users of any literacy level (EC4.2); Apps run on entry-level smartphones (EC4.1); Online tool allows for nontechnical users to build mobile data applications (EC4.2); Only available in English but can be live translated using google;",Yes
,Free to use,"Up to 10000 observations free (EC5.1, EC5.3); High volume users require a paid plan; ",Yes 
,Open source ,MIT License (EC6.1); Forum for user support (EC6.2); ,Yes 
,Inclusive development ,"Active and community forum for user support; Developed in 1996 with help from a tracker working in Karoo National Park in South Africa; In addition to projects with Kalahari San trackers, they've done projects with indigenous communities in Australia Canada, South America and more (EC7.1); Community forum for user and developer discourse (EC7.2);",Yes
,Example Projects ,"From 2000 to 2004 the Noordhoek wetlands and beach in the Table Mountain National Park suffered ongoing criminal attacks on visitors. Due to the remoteness of the area, the police and park rangers were unable to apprehend suspects. Only by tracking suspects and using the CyberTracker to plot their movements, was it possible to plan successful operations to catch the criminals (https://cybertracker.org/uses/crime-prevention/); The unique icon interface made CyberTracker the ideal data capture tool in the harsh weather conditions of an Arctic research expedition (https://cybertracker.org/use/cybertracker-on-arctic-expedition/); ",
Earth Ranger (https://www.earthranger.com/faqs),Integrated data aggregation and advocacy grade visualizations,"Record field data with map polygons, photos, notes, GPS (EC1.1); Extend tracking capabilities to wildlife and vehicles through further hardware and software integrations (https://www.earthranger.com/integrations); Interactive map, heat maps, time slider, and real-time updates for analysis (EC1.3); Visualize past patrols and surveys to identify trends (EC1.3); Data can be exported in KML, and CSV form (EC1.4);",Yes
,"Resilient, low friction field capture","Mobile offline capture with online syncing (EC2.1,  EC2.2); Offers 100+ tool integrations such as IoT, asset trackers, animal collars, camera traps and more  (https://www.earthranger.com/integrations; Form observation capture (EC2.3);",Yes
,"Secure, verifiable evidence management ",All data move over HTTPS and remain on-device until users push a sync (EC3.1); User inputted data can be validated through form constraints and requirements; No cryptographic hashing or signatures;  Allows for user specific permissions (EC3.3);,No
,Democratization of data submission and organization,"SMS, WhatsApp, or email alerts on tracking information such as boundary crossing; Mobile app submission, app catered to park rangers and other monitoring groups (EC4.1); 10+ languages (EC4.2);",Yes
,Free to use,"The Allen Institute for AI provides EarthRanger at no cost to qualified conservation organizations (EC5.1, EC5.3);",Yes 
,Open source ,Apache-2.0 license (EC6.1);  Self deployment guide (EC6.2);,Yes 
,Inclusive development ,"EarthRanger worked with government officials, park managers, rangers and other NGO field personnel to deliver a tool that would meet their needs in protecting wildlife and advancing conservation knowledge (EC7.1); Community forum for discourse between users and developers (EC7.2);",Yes
,Example Projects ,"Upemba National Park, one of the Democratic Republic of Congo’s oldest parks, endured neglect, exploitation, conflict, and poaching, severely diminishing its rich biodiversity. The integration of EarthRanger and Garmin inReach has not only enhanced ranger safety but also established a foundation for more informed conservation efforts. (https://www.earthranger.com/success-stories/upemba-ranger-safety); Deforestation, driven by illegal logging, unregulated and increasing development, and large-scale agriculture with unsustainable processes, poses a significant challenge to Costa Rica's Osa Peninsula .  Equipped with GPS devices and trained on EarthRanger, Rainforest Protectors use their phones, cameras, and community connections to alert law enforcement of any illegal activity quickly. (https://www.earthranger.com/success-stories/osa-conservation);",
Global Forest Watcher and Forest Watcher (https://forestwatcher.globalforestwatch.org/) ,Integrated data aggregation and advocacy grade visualizations,"Information such as photos and GPS points collected with forms (EC1.1); Displays forest change on mobile device; Layered interactive map (EC1.2); Create reports that include photo capture, audio recording, and text input (EC1.1, EC1.3); Export your data in CSV, SHP, GeoJSON, and PDF (EC1.4);",Yes
,"Resilient, low friction field capture","Offline mobile form and photo submission (EC2.1, EC2.2, EC2.3);  Caches basemaps and alert layers for offline access and offline reporting (EC2.1); Near real time forest alerts on mobile device; Record monitoring routes;",Yes
,"Secure, verifiable evidence management ",No cryptographic hashing or signatures; Says they take security technologies and procedures to protect data but no detailed technical documentation on encryption standards;,No
,Democratization of data submission and organization,"Mobile app submission (EC4.1); Icon-driven UI (EC4.2); Customizable forms; 5 interface languages (English, Spanish, Portuguese, French, Bahasa Indonesian) (EC4.2);",Yes
,Free to use,"Free and ready to use without self hosting (EC5.1, EC5.3);",Yes 
,Open source ,Global Forest Watch web app and Forest Watcher mobile app on MIT License (EC6.1); In depth developer guide (EC6.2);,Yes 
,Inclusive development ,"Early versions of the app were developed in Uganda with private forest owners, forest authority offices and protected areas rangers (EC7.1); Contact details provided but no online discourse space;",Partial 
,Example Projects ,"The Amapá Forest Police of northern Brazil use deforestation alerts on Forest Watcher to uncover instances of illegal deforestation (https://www.globalforestwatch.org/help/forest-watcher/); Amazon Conservation Team trained indigenous communities and forest rangers in central and southern Suriname to use Forest Watcher to investigate the causes of deforestation alerts, thereby strengthening community-based monitoring and protection of the region’s intact forest landscapes (https://www.globalforestwatch.org/help/forest-watcher/);",
ArcGIS Survey 123 (https://survey123.arcgis.com/),Integrated data aggregation and advocacy grade visualizations,"Robust data type collection in forms (text, number, date/time, location) (EC1.1); On web app data is easily analyzed in charts and tables, users can produce custom reports based on word documents (EC1.2, EC1.3); Data is stored in ArcGIS so you can work with ArcGIS tools, such as StoryMaps (EC1.3); Workflow automation; Export reports as PDF and data as CSV (EC1.4);",Yes
,"Resilient, low friction field capture","Form based mobile data collection (EC2.2, EC2.3); Offline sync submissions (EC2.1); ",Yes
,"Secure, verifiable evidence management ",Full data in transit encryption (TLS 1.2+) coming soon; Encryption for data at rest (AES-256) on ArcGIS Online / Enterprise (https://content.esri.com/resources/enterprisegis/card_survey_123_web_designer_assistant.pdf); No cryptographic hashing or signatures; ,No
